"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"11","CAR","20142015",15,17,147,190,171,173,317,294,232,225,174,155,12,15,136,134,117,117,110,348.991666666667,7,51.8821603927987,54.4998686692614,50.5456195229112,23,105.045488192173,50.7658643326039,39.8863392153585,38.6828720838606,7,78.5692112992192,52.887537993921,29.9147544115189,26.6482007688818,19,44.4444444444444,2.06308651113923,2.57885813892404,-3,50.3703703703704,23.3816471262447,23.0377993743881,2,46.4194465006328,51.5418502202643,97.2191323692992,49.7093023255814,75,54.8895899053628,6.89655172413793,5.17241379310345,90.3225806451613,58,70,85,69
"12","PHI","20142015",20,22,207,200,157,166,307,285,222,203,149,150,7,13,133,111,112,117,94,334.591666666667,7,51.8581081081081,55.0521780279445,51.1070708077009,22,106.159248835645,52.2352941176471,39.809718313367,36.4025802595203,19,76.2122985728874,49.8327759197324,26.719135264377,26.8984583198426,-1,35,1.25526138825932,2.33119972105303,-6,54.5081967213115,23.8499663769271,19.9048591566835,22,43.7548255336106,54.3689320388349,96.0313199105145,48.6068111455108,67.1171171171171,48.5342019543974,4.69798657718121,3.15315315315315,91.3333333333333,73,53,85,82
"13","BOS","20142015",21,11,191,197,180,160,313,292,231,229,163,155,10,8,135,115,119,132,89,347.8,7,51.7355371900826,53.9965497412306,50.3737780333525,21,104.370327774583,50.2173913043478,39.850488786659,39.5054629097182,2,79.3559516963772,51.2578616352201,28.1196089706728,26.7395054629097,8,55.5555555555556,1.72512938470385,1.38010350776308,2,54,23.289246693502,19.8389879240943,20,43.1282346175963,57.2115384615385,100.973679002573,52.9411764705882,70.5627705627706,52.0766773162939,6.13496932515337,4.32900432900433,94.8387096774194,68,74,82,63
"14","CHI","20142015",19,18,90,165,160,153,341,322,242,240,179,182,14,15,139,144,93,111,109,335.766666666667,7,51.4328808446456,60.9351732353817,57.539958304378,19,118.47513153976,50.207468879668,43.2443164896257,42.8869254442569,2,86.1312419338826,49.584487534626,31.9864985605083,32.5225851285615,-3,48.2758620689655,2.50173731758165,2.68043284026606,-1,49.1166077738516,24.8386776531321,25.7321552665542,-5,50.5708329196863,46.039603960396,99.5794708085211,51.1182108626198,73.9669421487603,52.4926686217009,7.82122905027933,5.78512396694215,91.7582417582418,63,58,99,82
"15","MIN","20142015",17,28,116,130,175,203,361,343,268,253,202,187,11,18,161,160,135,138,105,373.591666666667,8,51.2784090909091,57.9777386183668,55.0868818451518,18,113.064620463519,51.4395393474088,43.0416452900894,40.632597979077,15,83.6742432691664,51.9280205655527,32.4418371216346,30.0327898106221,15,37.9310344827586,1.76663469474248,2.89085677321496,-7,50.1557632398754,25.8571078048672,25.6965046507997,1,51.5536124556668,56.25,95.8198761052576,46.2962962962963,75.3731343283582,55.9556786703601,5.44554455445545,4.1044776119403,90.3743315508021,66,66,93,90
"16","FLA","20142015",18,21,166,183,190,199,352,334,282,255,212,185,22,17,145,118,145,129,115,388.133333333333,8,51.3119533527697,54.4142906217795,51.6317416695294,18,106.046032291309,52.5139664804469,43.5932669185847,39.4194434902096,27,83.0127104087942,53.4005037783375,32.7722432153899,28.5984197870148,27,56.4102564102564,3.40089316386122,2.6279628993473,5,55.1330798479087,22.4149776709035,18.2411542425283,27,40.6561319134318,55.7692307692308,101.188169301377,48.8431876606684,75.177304964539,60.2272727272727,10.377358490566,7.80141843971631,90.8108108108108,70,70,70,79
"17","WPG","20142015",30,19,211,169,159,157,289,276,212,210,147,156,12,14,119,111,102,100,114,311.908333333333,7,51.1504424778761,55.5932565657645,53.092521841353,13,108.685778407117,50.2369668246445,40.7812124288653,40.3964840097251,2,81.1776964385904,48.5148514851485,28.2775388068076,30.0088166929386,-9,46.1538461538462,2.30837051484143,2.69309893398167,-2,51.7391304347826,22.8913409388442,21.3524272622833,8,44.2437682011275,47.2222222222222,99.1889063317635,50.3164556962025,69.3396226415094,50.8650519031142,8.16326530612245,5.66037735849057,91.025641025641,65,54,77,66
"18","NSH","20142015",25,21,122,125,167,174,309,312,235,226,167,158,19,13,132,134,110,123,108,324.183333333333,7,49.7584541062802,57.1898617037684,57.7451030795332,-3,114.934964783302,50.9761388286334,43.4939077682381,41.8281836409439,9,85.3220914091821,51.3846153846154,30.9084365842373,29.2427124569431,9,59.375,3.5165287131767,2.40604596164722,6,49.6240601503759,24.4306205336487,24.8007814508251,-2,49.2314019844738,50.4587155963303,103.149397407716,48.9736070381232,71.063829787234,54.0453074433657,11.377245508982,8.08510638297872,91.7721518987342,68,68,74,86
"19","CBJ","20142015",24,14,195,139,127,144,222,250,166,196,109,128,12,15,92,116,84,100,87,280.216666666667,6,47.0338983050847,47.53464580979,53.5300065425564,-28,101.064652352346,45.8563535911602,35.5439243442574,41.9675251293642,-30,77.5114494736216,45.9915611814346,23.3390828525546,27.4073633497889,-19,44.4444444444444,2.56944031404271,3.21180039255338,-3,44.2307692307692,19.6990424076607,24.8379230357462,-24,44.5369654434069,49.1228070175439,99.2904243119266,46.8634686346863,65.6626506024096,49.0990990990991,11.0091743119266,7.2289156626506,88.28125,57,68,56,54
"20","VAN","20142015",22,12,90,162,154,165,301,333,218,239,140,166,9,9,119,143,109,110,100,336.383333333333,7,47.4763406940063,53.6887479562008,59.3965218252985,-32,113.085269781499,47.7024070021882,38.8842094832285,42.6299360848239,-21,81.5141455680523,45.7516339869281,24.9715106773027,29.6090769459446,-26,50,1.60531140068374,1.60531140068374,0,45.4198473282443,21.2257840757073,25.5066144775306,-24,46.7323985532379,52.1531100478469,101.006884681583,48.2758620689655,64.2201834862385,46.5116279069767,6.42857142857143,4.12844036697248,94.578313253012,78,73,83,94
