"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"11","PIT","20142015",146,122,1091,997,846,906,1751,1645,1286,1208,949,891,78,63,823,798,557,678,517,1914.21666666667,41,51.5606595995289,54.884069201501,51.5615613000966,106,106.445630501598,51.5637530072173,40.3089166151515,37.8640523103445,78,78.1729689254961,51.5760869565217,29.7458490418187,27.9278730202955,58,55.3191489361702,2.44486430480701,1.97469809234413,15,50.7711289327576,25.7964528571304,25.0128425030256,25,50.809295360156,51.8621973929236,101.148471011485,48.2876712328767,73.7947122861586,54.1976013706453,8.21917808219178,6.06531881804044,92.9292929292929,337,317,465,437
"12","ANA","20142015",116,139,1118,1071,1087,966,1940,1847,1462,1362,1001,940,75,72,897,812,679,725,649,2045.79166666667,43,51.2278848692897,56.8972891504919,54.1697386912157,93,111.067027841708,51.7705382436261,42.8782663598037,39.9454164035927,100,82.8236827633964,51.5713549716641,29.3578280616713,27.5687895883827,61,51.0204081632653,2.19963746715819,2.11165196847186,3,52.4868344060854,26.307664107212,23.8147416444327,85,50.1224057516446,51.1295180722892,99.8329330244224,52.9469069654165,68.4678522571819,51.5979381443299,7.49250749250749,5.12995896032832,92.3404255319149,461,422,478,485
"13","CAR","20142015",93,117,854,1022,1008,956,1875,1785,1368,1319,972,913,59,84,853,897,654,697,613,2034.59166666667,42,51.2295081967213,55.2936502410394,52.6395550294695,90,107.933205270509,50.9117975437291,40.3422472158623,38.8972398228965,49,79.2394870387588,51.5649867374005,28.6642282849548,26.9243214240368,59,41.2587412587413,1.73990686091804,2.47715553079856,-25,48.7428571428571,25.1549246163235,26.4524822753132,-44,51.6074068916367,51.6179952644041,96.8695207316359,51.3238289205703,71.0526315789474,51.84,6.06995884773663,4.31286549707602,90.7995618838992,396,406,507,466
"14","DAL","20142015",120,125,756,787,1054,1018,1914,1832,1426,1349,989,962,93,87,989,915,664,787,621,1934.725,41,51.0945008008542,59.3572729974544,56.8142759306878,82,116.171548928142,51.3873873873874,44.2233392342581,41.8354029642456,77,86.0587421985037,50.691952844695,30.6710255979532,29.8336972954813,27,51.6666666666667,2.88413081962553,2.69805786352066,6,51.9432773109244,30.6710255979532,28.3761258059931,74,59.0471514039463,51.6731517509728,100.359778772317,50.8687258687259,69.3548387096774,51.6718913270637,9.40343781597573,6.52173913043478,90.956340956341,437,387,488,483
"15","S.J","20142015",108,129,942,969,1111,1029,2010,1930,1417,1408,980,989,70,82,919,903,661,737,742,2095.03333333333,43,51.0152284263959,57.5647165518448,55.2735835547565,80,112.838300106601,50.1592920353982,40.5816932109274,40.323940748755,9,80.9056339596824,49.7714575926866,28.0663792143323,28.3241316765048,-9,46.0526315789474,2.00474137245231,2.34841132201556,-12,50.4390779363337,26.3193903040524,25.8611637046348,16,52.1805540086872,47.1133285816108,98.8516539072656,51.9158878504673,69.1601976005646,48.7562189054726,7.14285714285714,4.94001411432604,91.7087967644085,437,419,593,522
"16","STL","20142015",138,119,789,917,1123,947,1809,1737,1397,1268,1005,915,86,68,875,855,649,728,693,1999.85,42,51.0152284263959,54.2740705552916,52.1139085431407,72,106.387979098432,52.4202626641651,41.9131434857614,38.0428532139911,129,79.9559966997525,52.34375,30.1522614196065,27.4520589044178,90,55.8441558441558,2.58019351451359,2.04015301147586,18,50.5780346820809,26.2519688976673,25.6519238942921,20,51.9038927919594,48.3606557377049,101.125519941277,54.2512077294686,71.9398711524696,55.5555555555556,8.55721393034826,6.15604867573372,92.568306010929,392,353,412,469
"17","WSH","20142015",119,114,1086,1053,964,950,1832,1767,1325,1284,944,916,80,70,913,808,631,720,563,2010.65833333333,42,50.9030286190608,54.6686615909383,52.7289983794694,65,107.397659970408,50.7857416634726,39.539288541481,38.3158086696314,41,77.8550972111125,50.752688172043,28.169878025025,27.3343307954691,28,53.3333333333333,2.38727779873093,2.08886807388956,10,53.0505520046485,27.2448078780167,24.1115057671824,105,51.3563136451991,52.8475711892797,100.832654873807,50.3657262277952,71.2452830188679,51.528384279476,8.47457627118644,6.0377358490566,92.3580786026201,381,368,507,483
"18","NYR","20142015",98,94,809,820,795,951,1643,1630,1215,1206,890,858,82,63,765,708,536,676,534,1877.65,39,50.1985945615643,52.5017974595904,52.0863845764653,13,104.588182036056,50.185873605948,38.8251271536229,38.5375336191516,9,77.3626607727745,50.9153318077803,28.4398050754933,27.4172502862621,32,56.551724137931,2.620296647405,2.01315474129896,19,51.9348268839104,24.4454504300589,22.6240247117407,57,47.0694751417996,50.0934579439252,101.87082580341,45.53264604811,73.2510288065844,54.169202678028,9.21348314606742,6.74897119341564,92.6573426573427,325,348,428,424
"19","VAN","20142015",115,117,674,846,913,955,1708,1740,1286,1260,942,918,69,77,803,849,597,711,560,1912.50833333333,40,49.5359628770302,53.5840802436591,54.5879974379197,-32,108.172077681579,50.5106048703849,40.3449222443475,39.5292395240108,26,79.8741617683583,50.6451612903226,29.5528124060462,28.7998745103507,24,47.2602739726027,2.1646964501244,2.41567574868955,-8,48.6077481840194,25.1920470934767,26.6351780602263,-46,51.827225153703,51.5989628349179,98.9370412000611,48.8758029978587,73.2503888024883,55.152224824356,7.32484076433121,5.36547433903577,91.6122004357298,344,342,422,480
"20","EDM","20142015",122,111,923,993,1015,1051,1860,1911,1316,1406,934,1020,68,99,813,901,632,779,655,2101.45833333333,43,49.3237867939539,53.1059779914742,54.5621096460791,-51,107.668087637553,48.3468038207201,37.5739070090215,40.1435511053832,-90,77.7174581144047,47.7993858751279,26.6671954000198,29.1226330920987,-86,40.7185628742515,1.94150887280658,2.82660850599782,-31,47.4329054842474,23.2124516704669,25.7249925646872,-88,48.9374442351542,49.1064491064491,97.5746315656884,49.1287512100678,70.9726443768997,50.2150537634409,7.28051391862955,5.16717325227964,90.2941176470588,382,386,544,505
"21","N.J","20142015",130,116,754,827,911,1005,1616,1691,1194,1303,866,986,63,66,810,821,569,729,618,2094.31666666667,44,48.8660417296643,46.296723672797,48.4453958729578,-75,94.7421195457548,47.8173808570284,34.2068614265592,37.3295983574595,-109,71.5364597840187,46.7602591792657,24.8100016711895,28.2478771914467,-120,48.8372093023256,1.80488464813503,1.89083153614146,-3,49.662783568363,23.2056597617361,23.520798351093,-11,46.7264581128292,47.9359730412805,100.581114822293,47.5469728601253,72.5293132328308,53.5891089108911,7.27482678983834,5.27638190954774,93.3062880324544,328,317,422,388
"22","OTT","20142015",134,127,1004,910,867,926,1670,1746,1190,1363,870,1025,66,73,788,813,532,641,620,1877.95833333333,41,48.8875878220141,53.3558163786027,55.7839852676888,-76,109.139801646291,46.6118292205249,38.0200128685851,43.5472920503206,-173,81.5673049189057,45.910290237467,27.7961438619068,32.7483304120166,-155,47.4820143884892,2.10867298262741,2.3323201171485,-7,49.2192379762648,25.1762774289454,25.9750171950922,-25,51.1512946240376,46.1805555555556,100.46425567704,48.3547127718907,73.109243697479,52.0958083832335,7.58620689655172,5.54621848739496,92.8780487804878,320,338,480,383
"23","ARI","20142015",115,126,1118,1142,1025,922,1773,1849,1271,1372,886,968,59,89,794,906,630,728,589,1966.41666666667,41,48.9508558807289,54.0984023392804,56.4173411874391,-76,110.51574352672,48.0892924706773,38.7812010001271,41.8629486799169,-101,80.6441496800441,47.7885652642934,27.0339449930076,29.5359579607577,-82,39.8648648648649,1.80022884264949,2.71559944060686,-30,46.7058823529412,24.226808492605,27.6441920583125,-112,51.8710005509175,51.681706316653,97.4649273361566,52.6450950179764,69.7088906372935,49.9717992103779,6.65914221218962,4.6420141620771,90.8057851239669,385,404,502,477
"24","MTL","20142015",124,108,689,950,1052,912,1756,1850,1252,1306,902,948,81,64,839,897,585,704,675,1958.5,41,48.6966167498613,53.7962726576462,56.6760275721215,-94,110.472300229768,48.9444878811572,38.3558846055655,40.0102118968598,-54,78.3660965024253,48.7567567567568,27.6333929027317,29.0426346693898,-46,55.8620689655172,2.48149093694154,1.96068419708961,17,48.3294930875576,25.7033443962216,27.4802144498341,-58,53.1835588460557,46.4285714285714,102.228989493577,53.5641547861507,72.0447284345048,51.3667425968109,8.980044345898,6.46964856230032,93.2489451476793,350,358,504,544
"25","PHI","20142015",133,117,1058,1093,999,981,1746,1862,1277,1372,917,991,71,74,849,866,637,707,636,2039.275,43,48.3924611973392,51.371198097363,54.7841757487342,-116,106.155373846097,48.2068705171763,37.5721763862157,40.3672873938042,-95,77.9394637800199,48.0607966457023,26.980176778512,29.1574211423177,-74,48.9655172413793,2.08897770040823,2.17724436380576,-3,49.5043731778426,24.9794657415013,25.4796435007539,-17,50.4591092422552,50.0392772977219,100.275434196757,50.4545454545455,71.8089271730619,52.5200458190149,7.74263904034896,5.55990602975724,92.5327951564077,360,381,469,490
"26","CBJ","20142015",123,120,1166,871,880,951,1498,1756,1144,1334,820,981,60,88,702,802,548,669,614,1858.875,40,46.0356484326982,48.3518257010289,56.6794432116199,-258,105.031268912649,46.1662631154157,36.9255598144039,43.058301391971,-190,79.9838612063748,45.5302609661299,26.4676215452895,31.6643130925963,-161,40.5405405405405,1.93665523502118,2.84042767803107,-28,46.6755319148936,22.6588662497478,25.8866249747831,-100,48.545491224531,47.1600688468158,98.3466348424952,48.0611687602403,71.6783216783217,54.739652870494,7.31707317073171,5.24475524475525,91.0295616717635,324,353,354,422
"27","TOR","20142015",119,126,1222,1184,1008,1030,1735,2126,1322,1603,932,1111,86,89,904,1152,530,770,738,2027.775,43,44.9365449365449,51.337056626105,62.9063875429966,-391,114.243444169102,45.1965811965812,39.116765913378,47.4312978510929,-281,86.5480637644709,45.6191874694077,27.5770240781152,32.8734696896845,-179,49.1428571428571,2.54466102008359,2.63342826497023,-3,43.9688715953307,26.7485297925066,34.0866220364685,-248,60.8351518289751,41.7981072555205,101.216666731051,49.4602551521099,70.499243570348,53.7175792507205,9.2274678111588,6.5052950075643,91.989198919892,390,492,413,523
"28","COL","20142015",135,116,949,797,987,1035,1633,2067,1225,1526,948,1105,80,81,798,1024,633,693,696,2024.11666666667,43,44.1351351351351,48.4063006908363,61.27117178687,-434,109.677472477706,44.529262086514,36.3121361581595,45.2345467570216,-301,81.5466829151811,46.1763273258646,28.1011470023961,32.7550289426664,-157,49.6894409937888,2.37140481032879,2.4010473704579,-1,43.7980241492865,23.6547629830296,30.3539815722085,-226,54.0087445552381,47.6297968397291,101.108501823319,48.813056379822,77.3877551020408,58.0526638089406,8.43881856540084,6.53061224489796,92.6696832579185,277,421,408,541
"29","CGY","20142015",98,130,910,736,1000,1126,1688,2140,1195,1448,857,991,75,77,785,999,617,741,768,2076.54166666667,43,44.0961337513062,48.7734012881995,61.8335774625278,-452,110.606978750727,45.2137722285282,34.5285631157574,41.8387944699721,-253,76.3673575857295,46.3744588744589,24.7623251800871,28.6341473202641,-134,49.3421052631579,2.16706463069607,2.22485302084796,-2,44.0022421524664,22.6819431346189,28.8653008808716,-214,51.5472440154905,44.5487364620939,100.981529212151,47.0366886171214,71.7154811715481,50.7701421800948,8.75145857642941,6.27615062761506,92.2300706357215,338,457,493,692
"30","BUF","20142015",122,109,1076,778,895,1064,1372,2284,1025,1665,775,1202,57,96,675,1145,535,678,746,2080.55833333333,43,37.527352297593,39.5663023146832,65.8669347570965,-912,105.43323707178,38.1040892193309,29.5593730849492,48.0159572550637,-640,77.5753303400129,39.2008093070309,22.3497698934981,34.6637721444965,-427,37.2549019607843,1.64378952765083,2.76848762551719,-39,37.0879120879121,19.4659286169177,33.0199826168456,-470,52.4859112337634,41.7642466822795,99.3681498577639,45.6865747830526,75.609756097561,56.4868804664723,7.35483870967742,5.5609756097561,92.0133111480865,250,463,347,619
